ID,Type,Original line,The translation
614,DialogueOption,"I'm going to stop you Noo Noo, right here, right now.","Ik ga je tegenhouden Noo Noo, hier, en nu."
615,DialogueOption,"You won't get away with this, Noo Noo.","Je gaat hier niet mee wegkomen, Noo Noo."
616,DialogueOption,I agree.,Dat is waar.
617,Speech (Noo Noo),"The machines are creating an army of New Borns.  They're flooding the lands, infecting all life as we speak.",De machines creëren een leger van New Borns. Ze overspoelen de landen en infecteren al het leven zoals we spreken.
618,Speech (Player),What are you talking about?,Waar heb je het over?
619,Speech (Noo Noo),"Infecting the custard is only one step of my plan, I have also injected my virus into the teletubby creation machines.","Het infecteren van de custard is slechts een stap van mijn plan, ik heb ook mijn virus in de teletubby creatie machines geïnjecteerd."
620,Speech (Noo Noo),"Now when a new teletubby is made, they already have my virus in their bodies.","Nu als er een nieuwe teletubby is gemaakt, hebben ze al mijn virus in hun lichaam."
621,Speech (Noo Noo),"The only side affect to this is that they are unable to grow fur, but that does not matter to the undead.","De enige kant hiervan is dat ze niet in staat zijn bont te worden, maar dat maakt niet uit de ondoden."
622,Speech (Noo Noo),They are my New Borns.,Zij zijn mijn New Borns.
623,Speech (Noo Noo),"The machines are creating an army of New Borns.  They're flooding the lands, infecting all life as we speak.",De machines creëren een leger van New Borns. Ze overspoelen de landen en infecteren al het leven zoals we spreken.
624,Speech (Player),"It's the military, they're here.","Het is het leger, ze zijn hier."
625,Speech (Sargent),"I am Sargent Miles, We recieved a distress call.  What's the problem?","Ik ben Sergeant Miles, We hebben een noodoproep ontvangen. Wat is het probleem?"
626,Speech (MilitaryTubby (4)),"Sir, Over here!","Sir, hier!"
627,Speech (MilitaryTubby (4)),You might want to see this...,Je zou dit misschien willen zien ...
628,Speech (Sargent),Dear god....,"Lieve God.... "
629,Speech (Sargent),Prepare all units for an invasion...,Bereid alle units voor een invasie...
630,Speech (Player),We must fight.,We moeten vechten.
631,Speech (Noo Noo),"You defeated The Announcer, you have proved to me that you hold great value.","Je hebt de Announcer verslagen, je hebt me bewezen dat je veel waarde hebt."
632,Speech (Noo Noo),"I've underestimated you, Guardian. By defeating The Announcer, you have proved to me that you hold great value.","Ik heb je onderschat, Guardian. Door de Announcer te verslaan, heb je me bewezen dat je veel waarde hebt."
633,Speech (Noo Noo),You are a lot smarter and stronger than I thought. You are different than the rest.,Je bent veel slimmer en sterker dan ik dacht. Je bent anders dan de rest.
634,Speech (Noo Noo),"If you join me, then together we can make the world a better place.","Als je bij me aansluit, dan kunnen we de wereld een betere plek maken."
635,Speech (Noo Noo),"Yes, they are part of my creation.","Ja, ze maken deel uit van mijn creatie."
636,Speech (Noo Noo),I'm impressed.,"Ik ben onder de indruk. "
637,Speech (Sargent),Caused what? It's just a vacuum.,Veroorzaakt wat? Het is gewoon een stofzuiger.
638,Speech (Noo Noo),"It's too late, I already have.","Het is te laat, ik heb al."
639,Speech (Noo Noo),It is the way things should be.,Het is de manier waarop het moet zijn.
640,Speech (Sargent),A vacuum created monsters? What do you take me for.,Een stofzuiger heeft monsters gecreërd? Waar zie je me voor aan.
641,Speech (Sargent),Explain yourself.  Now.,Verduidelijk jezelf. Nu.
642,Speech (Noo Noo),That is unfortunate.,"Dat is jammer. "
643,Speech (MilitaryTubby),"Spread out, see if you can find anything...","Opsplitsen, kijk of je iets kunt vinden ..."
644,Speech (MilitaryTubby),Damn...,Verdomme...
645,Speech (MilitaryTubby (4)),Damn... What do you think killed this poor soul?,Verdomme ... Wat denk je dat deze arme ziel gedood hebt?
646,Speech (Sargent),"The body is still warm, this happened recently.","Het lichaam is nog steeds warm, dit gebeurde onlangs."
647,Speech (MilitaryTubby),Sir! We've got a problem...,Sir! We hebben een probleem ...
648,Speech (MilitaryTubby),What the hell?,Wat in hemels naam?
649,Speech (MilitaryTubby),What are those things?,Wat zijn die dingen?
650,Speech (Sargent),"All units, open fire!","Alle eenheden, open vuur!"
651,Speech (MilitaryTubby (2)),There's too many!,Er zijn te veel!
652,Speech (MilitaryTubby (2)),We're being overrun!,We worden omsingeld!
653,Speech (Sargent),God help us...,God help ons...
654,Speech (Noo Noo),"Together, we will rid the world of the weak and create a superior race.",Samen zullen we de wereld van de zwakken ontslaan en een superieure race creëren.
655,Speech (Noo Noo),"No, things have just begun.","Nee, dingen zijn net begonnen."
656,Speech (Noo Noo),"Actually, that's the plan.",Eigenlijk is dat het plan.
657,Speech (Player),It's done.,Het is klaar.
658,Speech (Player),What th-...,Wat in he-...
659,Speech (Noo Noo),Complicated? Indeed. Impossible? Definitely not.,Ingewikkeld? Inderdaad. Onmogelijk? Absoluut niet.
660,Speech (Noo Noo),"Except that I can, my dear white fluffy friend.","Behalve dat ik kan, mijn lieve, witte, pluizige vriend."
661,Speech (Player),"I'm sorry, Po.","Het spijt me, Po."
662,Speech (Noo Noo),"We could've worked together, we could've built a better world.","We zouden kunnen samenwerken, we zouden een betere wereld kunnen hebben gebouwd."
663,Speech (Noo Noo),Do you really think you've won?,Denk je serieus dat je hebt gewonnen
664,Speech (Noo Noo),Your world is about to become ash.,Je wereld staat op het punt om as te worden.
665,Speech (Noo Noo),You're too late.,Je bent te laat.
666,Speech (Noo Noo),"No, the world is. And I am going to fix it.","Nee, de wereld is. En ik ga het oplossen."
667,Speech (Noo Noo),"So be it, I can see you will never understand.","Zo kan het ook, ik kan zien dat je het nooit zal begrijpen."
668,Speech (Noo Noo),"You are not going to stop me, I will not allow that.","Je gaat me niet stoppen, dat zal ik niet toestaan."
669,Speech (Noo Noo),"Po, Kill...","Po, Vermoord..."
670,Speech (Noo Noo),Yes.,Ja.
671,Speech (Noo Noo),"Enough Po, Finish this!","Genoeg Po, Voltooi dit!"
672,Speech (Player),"Noo Noo, stop!","Noo Noo, stop!"
673,Speech (Noo Noo),Why are you here? You should be dead.,Waarom ben je hier? Je zou dood moeten zijn.
674,Speech (Noo Noo),"Good, you've made the right decision.","Goed, je hebt de juiste beslissing genomen."
675,Speech (Noo Noo),"Come with me, we have much to do.","Kom met mij, we hebben veel te doen."
676,Speech (Sargent),Our base is quite far from here... We came as quickly as we could.,Onze basis ligt vrij ver van hier ... We kwamen zo snel als we konden.
677,Speech (Sargent),"Slow down, who's all dead?","Langzaam, wie is allemaal dood?"
678,DialogueOption,What took you so long?!,"Waarom duurde het zolang?! "
679,DialogueOption,Noo Noo caused all of this...,Noo Noo heeft dit alles veroorzaakt ...
680,DialogueOption,Noo Noo created monsters.,Noo Noo heeft monsters gemaakt.
681,DialogueOption,"It's horrible, they're all dead...","Het is verschrikkelijk, ze zijn allemaal dood ..."
682,DialogueOption,It's over.,Het is voorbij.
683,DialogueOption,I'm shutting you down.,Ik sluit je neer.
684,DialogueOption,"Farewell, Noo Noo.","Vaarwel, Noo Noo."
685,DialogueOption,...Shut up.,...Hou je mond.
686,DialogueOption,"It's over Noo Noo, give up now.","Het is over Noo Noo, geef nu op."
687,DialogueOption,I defeated The Announcer.,Ik versloeg de Announcer.
688,DialogueOption,I'm not letting you get away with this!,Ik laat je hier niet wegkomen!
689,DialogueOption,What are you talking about?,"Waar heb je het over? "
690,DialogueOption,New Borns?,New Borns?
691,DialogueOption,"What? No way, you can't do this!","Wat? No way, je kan dit niet doen!"
692,DialogueOption,So that's what I encountered at the secret lair.,Dus dat is wat ik tegenkom in de geheime lair.
693,DialogueOption,That is very impressive.,Dat is heel indrukwekkend.
694,DialogueOption,But.. that's impossible...,Maar dat is onmogelijk ...
695,DialogueOption,"Join you? Never, you killed my friends!","Met je meedoen? Nooit, je hebt mijn vrienden vermoord!"
696,DialogueOption,I'm listening...,"Ik luister... "
697,DialogueOption,Over my dead body.,"Over mijn Lijk. "
698,DialogueOption,Sounds good to me.,"Klinkt goed. "
699,DialogueOption,Now that I think of it... No.,Nu dat ik er aan denk ... Nee.
700,DialogueOption,Seriously? You're sick!,Ernstig? Je bent ziek!
701,Speech (Noo Noo),"Oh, not at all. You won’t feel a thing.","Oh, helemaal niet. Je voelt geen ding."
,"Oh, not at all. You won’t feel a thing.",,
,,,
702,Speech (Noo Noo),"Yes, we're at the custard facility.  What you see before you is the main custard supply.","Ja, we zijn in de custardfaciliteit. Wat je voor je ziet is de belangrijkste custard levering."
703,Speech (Noo Noo),It travels through pipelines to custard machines.,Het reist via pijpleidingen naar custardmachines.
704,Speech (Noo Noo),This is what I infected.,Dit is wat ik besmet heb.
705,Speech (Noo Noo),"You are not reborn, as you know you still have untapped potential.","Je bent niet herboren, zoals je weet dat je nog steeds onbenut bent."
706,Speech (Noo Noo),"We must fix this, you must eat from the infected custard.","We moeten dit oplossen, u moet van de geïnfecteerde vla eet."
707,Speech (Noo Noo),Now it is time for you to become one with the new world.,Nu is het tijd dat je één wordt met de nieuwe wereld.
,Now it is time for you to become one with the new world.,,
,,,
708,Speech (Noo Noo),"Good, this is the way things have to be.","Goed, dit is de manier waarop dingen moeten zijn."
,"Good, this is the way things have to be.",,
,,,
709,Speech (Noo Noo),"I am impressed with your choices, you will be the greatest reborn of them all.","Ik ben onder de indruk van uw keuzes, jij zal de beste reborn zijn van hen allen."
,"I am impressed with your choices, you will be the greatest reborn of them all.",,
,,,
710,Speech (Noo Noo),You will serve me well.,Je zal mij goed bedienen.
711,Speech (Noo Noo),You didn't think that you would be able to come out of this alive did you?,"Jij dacht niet dat je uit dit leven zou kunnen komen, dacht je?"
,You didn't think that you would be able to come out of this alive did you?,,
,,,
712,Speech (Noo Noo),I thought you understood the new world.,Ik dacht dat je de nieuwe wereld begreep.
,I thought you understood the new world.,,
,,,
713,Speech (PO),*Tick tick tick tick tick tick tick tick tick tick tick tick tick*,*Tick tick tick tick tick tick tick tick tick tick tick tick tick*
714,Speech (Noo Noo),"You’re so foolish, you think I won’t get away with this. You’re wrong.","Je bent zo dwaas, je denkt dat ik hiermee niet wegkom. Je hebt het fout."
715,Speech (Noo Noo),I'm afraid you have no choice.,Ik ben bang dat je geen keuze hebt.
716,Speech (Noo Noo),It is unfortunate you lost your legs in the fall...  No matter.,Het is jammer dat je je benen in de herfst hebt verloren ... Ongeacht.
717,Speech (Noo Noo),It's time for you to obey my command.,Het is tijd voor jou om mijn bevel te gehoorzamen.
718,Speech (Noo Noo),My plan is almost complete.,Mijn plan is bijna compleet
,My plan is almost complete.,,
,,,
719,Speech (Noo Noo),"The newborns are taking over the lands as we speak, ridding the world of all living things.","De newborns nemen de landen over als we spreken, en rennen de wereld van alle levende dingen."
720,Speech (Noo Noo),"The military are trying to stop them, but they are out numbered, they won't succeed.","Het leger probeert ze te stoppen, maar ze zijn uit met minder, ze zullen niet slagen."
721,Hotspot,PO,Po
722,Hotspot,Noo Noo,Noo Noo
723,DialogueOption,That's a lot of custard.,Dat is veel custard
724,DialogueOption,I think you underestimate the military.,Ik denk dat je het leger onderschat.
725,DialogueOption,I see.,"Ik snap het. "
726,DialogueOption,So what now?,"Dus wat nu? "
727,DialogueOption,What do you mean?,Wat bedoel je?
728,DialogueOption,I don’t know.. Will it hurt?,Ik weet het niet .. Zal het pijn doen?
729,DialogueOption,I'm ready.,"Ik ben klaar. "
730,DialogueOption,What? I'm not eating any custard!,Wat? Ik eet geen custard
731,DialogueOption,"You can forget it, I'm leaving.","Je kan het vergeten, ik ga weg."
732,DialogueOption,"In that case, give me the custard.",Geef me dan de custard.
733,DialogueOption,Po is that you?,Po ben jij dat?
734,DialogueOption,Can you hear me?,Kun je me horen?
735,DialogueOption,[Leave],[Weggaan]
736,InventoryItem,Toolbox,"Gereedschapskist "
737,InventoryItem,Custard,Custard
738,InventoryItem,Camera,Camera
739,InventoryItem,Pipe,Pijp
740,InventoryItem,Rock,Steen
741,InventoryItem,Key Card,Sleutelkaart
742,HotspotPrefix,Use,Gebruik
743,HotspotPrefix,on,aan
744,CursorIcon,Use,Gebruik
745,CursorIcon,Talk to,Praat met
746,CursorIcon,Look at,Kijk naar
747,MenuElement (PauseTitle),Paused,Gepauzeerd
748,MenuElement (ResumeButton),Resume,Verdergaan
749,MenuElement (OptionsButton),Options,Opties
750,MenuElement (QuitButton),Quit,Stoppen
751,MenuElement (TitleLabel),Options,Opties
752,MenuElement (SpeechSlider),Speech volume,Spraak volume
753,MenuElement (MusicSlider),Music volume,Muziek volume
754,MenuElement (SFXSlider),SFX volume,SFX volume
755,MenuElement (LanguageCycle),Language,Taal
756,MenuElement (SubtitlesToggle),Subtitles,Ondertiteling
757,MenuElement (BackButton),Back,Terug
758,MenuElement (TitleLabel),Save game,Opslaan
759,MenuElement (SavesList),New save,Niew opslagbestand
760,MenuElement (BackButton),Back,Terug
761,MenuElement (TitleLabel),Load game,Laden
762,MenuElement (BackButton),Back,Terug
763,MenuElement (ShiftLeft),,
764,MenuElement (ShiftRight),,
765,MenuElement (MenuButton),Menu,Menu
766,MenuElement (SubsSpeakerLabel),,
767,MenuElement (SubsLineLabel),"TEST TEST TEST TEST ","TEST TEST TEST TEST "
768,MenuElement (Blank)," "," "
769,MenuElement (ContainerLabel),Container,Container
770,MenuElement (CloseButton),Close,Sluiten
771,MenuElement (TakeAllButton),Take all,Pak alles
772,MenuElement (InventoryLabel),Inventory,Inventaris
773,MenuElement (ShiftContainerLeft),,
774,MenuElement (ShiftContainerRight),,
775,MenuElement (ShiftInventoryLeft),,
776,MenuElement (ShiftInventoryRight),,
777,MenuElement (ShiftLeft),,
778,MenuElement (ShiftRight),,
779,MenuElement (CreateButton),Create,Maken
780,MenuElement (CloseButton),Close,Sluiten
781,MenuElement (IngredientsLabel),Ingredients,Ingrediënten
782,MenuElement (InventoryLabel),Inventory,Inventaris
783,MenuElement (OutputLabel),Output,Output
784,MenuElement (HotspotLabel),Test yy pp,Test yy pp
785,MenuElement (Controls),Combat Controls,Bestrijdings Controles
786,MenuElement (Attack),Left click to attack.,Links klikken om aan te vallen.
787,MenuElement (Block),Hold the right mouse button to block.,Houd de rechter muisknop ingedrukt om te blokkeren.
788,MenuElement (Sprint),Hold shift to sprint.,Houd shift in om te sprinten.
789,MenuElement (Roll),"While blocking, move in any direction to roll.","Terwijl u blockt, beweeg u in elke richting om te rollen."
790,MenuElement (Health),The yellow bar is your health; collect green health orbs to regain health.,De gele bar is uw gezondheid; Verzamel groene gezondheidsbollen om de gezondheid te herwinnen.
791,MenuElement (Stamina),"The blue bar is your stamina; you will lose stamina when sprinting, blocking attacks and rolling.","De blauwe bar is uw uithoudingsvermogen; Je zal stamina verliezen wanneer je sprint, blokkeren van aanvallen en rollen."
792,MenuElement (RegainStamina),"To regain stamina you must not attack, block, sprint or roll.","Om uithoudingsvermogen te herwinnen mag u niet aanval, blokkeren, sprinten of rollen."
793,MenuElement (BlockDamage),If you attempt to block an attack without enough stamina; you will take damage.,Als u probeert een aanval te blokkeren zonder genoeg uithoudingsvermogen; Zal u schade aannemen.
794,MenuElement (Alert),When you see a red flash; it means the enemy is about to attack.,Wanneer u een rode flits ziet betekent het dat de vijand op het punt staat om aan te vallen.
795,MenuElement (Continue),Continue,Doorgaan
796,MenuElement (ShiftTxt),Run,Ren
797,MenuElement (WSADTxt),Move,Bewegen
798,MenuElement (MouseTxt),Interact,Interact
799,MenuElement (NightVision),Right click to toggle night vision,Klik met de rechtermuisknop om nachtzicht te veranderen
800,MenuElement (Crouch),Hold CTRL or C to crouch,Houd CTRL of C vast om te hurken
801,MenuElement (ShowInventory),Move cursor here to view inventory,Beweeg cursor hier om inventaris te bekijken
802,MenuElement (TenHoursLater),10 hours later...,10 uur later...
803,MenuElement (SometimeLater),Sometime later...,Een paar minuten later...
